Protein_ID,Sequence_Length,Molecular_Weight_kDa,Isoelectric_Point,Hydrophobicity,Secondary_Structure,Buffer_Type,Precipitant_Type,Precipitant_Concentration_%,pH,Temperature_C,Crystallization_Method,Crystallized
P00000,152,45.96,9.22,0.391,Alpha,Citrate,Ammonium sulfate,15.61,9.2,20,Free interface diffusion,0
P00001,485,85.5,7.85,-0.523,Alpha,Tris,PEG 3350,31.72,8.9,25,Vapor diffusion,0
P00002,910,110.91,9.57,-0.708,Beta,Phosphate,PEG 3350,32.88,5.6,25,Batch under oil,0
P00003,320,82.27,9.05,0.771,Beta,HEPES,Ethanol,39.5,5.1,37,Microbatch,0
P00004,156,140.0,4.05,-0.173,Beta,Tris,PEG 3350,5.58,8.5,25,Dialysis,0
P00005,121,142.96,8.02,-0.992,Beta,HEPES,Ammonium sulfate,33.35,4.6,37,Batch under oil,0
P00006,750,57.41,5.83,-0.412,Mixed,HEPES,MPD,21.87,7.4,4,Counter-diffusion,1
P00007,70,117.76,6.73,-0.609,Beta,Tris,PEG 3350,9.3,9.0,37,Free interface diffusion,0
P00008,664,112.13,4.56,0.208,Beta,Citrate,MPD,31.52,5.0,20,Sitting-drop,0
P00009,171,134.48,5.69,0.512,Mixed,Citrate,Ammonium sulfate,7.3,4.7,20,Hanging-drop,0
P00010,516,69.95,7.8,-0.005,Mixed,Citrate,PEG 3350,35.37,7.5,4,Vapor diffusion,1
P00011,264,81.92,5.31,-0.628,Alpha,HEPES,MPD,27.13,7.4,4,Vapor diffusion,1
P00012,380,65.29,7.89,-0.884,Mixed,Citrate,Ethanol,11.6,4.4,20,Sitting-drop,0
P00013,508,128.3,9.54,-0.373,Mixed,Citrate,Ethanol,28.83,6.0,37,Vapor diffusion,1
P00014,137,38.31,4.03,0.612,Beta,HEPES,Ethanol,10.86,9.1,4,Free interface diffusion,0
P00015,422,39.76,8.71,-0.161,Beta,Tris,Ethanol,24.79,5.3,4,Free interface diffusion,0
P00016,149,59.03,7.85,-0.495,Beta,Phosphate,MPD,5.17,6.9,25,Free interface diffusion,0
P00017,921,38.4,4.28,-0.959,Beta,Citrate,MPD,37.8,5.9,20,Free interface diffusion,0
P00018,713,86.35,8.74,-0.008,Mixed,Tris,MPD,7.24,9.0,25,Microbatch,0
P00019,180,24.5,5.35,0.37,Beta,HEPES,MPD,31.24,6.9,4,Free interface diffusion,0
P00020,711,51.43,5.59,-0.619,Beta,HEPES,Ethanol,29.68,6.5,25,Vapor diffusion,1
P00021,358,137.45,4.56,0.074,Alpha,Citrate,MPD,27.8,8.9,20,Microbatch,0
P00022,819,64.34,7.21,-0.159,Mixed,Citrate,PEG 3350,6.37,7.5,20,Batch under oil,0
P00023,393,113.49,6.99,0.408,Mixed,Tris,Ammonium sulfate,27.94,6.0,20,Vapor diffusion,1
P00024,541,21.45,6.08,0.721,Mixed,Citrate,PEG 3350,26.45,9.5,37,Counter-diffusion,0
P00025,463,40.9,5.01,-0.386,Alpha,Tris,MPD,27.14,9.0,4,Vapor diffusion,1
P00026,855,122.07,9.03,0.81,Mixed,HEPES,MPD,23.84,5.5,25,Counter-diffusion,1
P00027,435,115.63,9.26,0.414,Mixed,Tris,Ethanol,16.57,4.2,4,Counter-diffusion,1
P00028,241,60.99,7.24,-0.926,Beta,HEPES,Ethanol,13.2,4.7,25,Counter-diffusion,0
P00029,326,143.39,5.47,0.582,Mixed,Citrate,Ammonium sulfate,20.97,4.9,4,Counter-diffusion,0
P00030,210,137.04,4.58,-0.011,Beta,Phosphate,Ethanol,18.47,8.0,37,Sitting-drop,1
P00031,509,144.53,9.21,0.891,Alpha,Tris,PEG 3350,29.07,6.1,4,Dialysis,1
P00032,363,67.05,4.58,-0.353,Beta,Phosphate,Ethanol,14.47,5.9,20,Sitting-drop,0
P00033,71,33.63,4.08,0.182,Alpha,Tris,Ethanol,32.71,7.1,25,Vapor diffusion,1
P00034,302,95.87,6.82,0.912,Alpha,Tris,Ammonium sulfate,39.3,4.7,25,Dialysis,0
P00035,797,104.29,8.39,-0.458,Alpha,Phosphate,MPD,29.45,5.5,25,Vapor diffusion,0
P00036,906,23.19,6.75,-0.056,Beta,Phosphate,Ethanol,22.93,6.7,20,Free interface diffusion,0
P00037,610,119.04,4.31,0.505,Alpha,Citrate,MPD,11.0,6.6,37,Free interface diffusion,0
P00038,524,7.62,8.14,0.382,Beta,Phosphate,PEG 3350,39.37,7.4,4,Vapor diffusion,0
P00039,108,75.0,7.85,0.677,Beta,Phosphate,MPD,14.54,5.7,37,Vapor diffusion,0
P00040,560,53.0,8.09,0.04,Beta,Citrate,Ethanol,24.89,6.1,25,Dialysis,1
P00041,731,112.34,5.27,-0.362,Alpha,Phosphate,MPD,20.49,4.3,25,Free interface diffusion,0
